全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
082015,茨城県,イバラキケン,Ibaraki,,,,水戸市,ミトシ,Mito-shi,,,,1947-04-17,,
082023,茨城県,イバラキケン,Ibaraki,,,,日立市,ヒタチシ,Hitachi-shi,,,,1947-04-17,,
082031,茨城県,イバラキケン,Ibaraki,,,,土浦市,ツチウラシ,Tsuchiura-shi,,,,1947-04-17,,
082040,茨城県,イバラキケン,Ibaraki,,,,古河市,コガシ,Koga-shi,,,,1947-04-17,,
082058,茨城県,イバラキケン,Ibaraki,,,,石岡市,イシオカシ,Ishioka-shi,,,,1947-04-17,,
082074,茨城県,イバラキケン,Ibaraki,,,,結城市,ユウキシ,Yuki-shi,,,,1947-04-17,,
082082,茨城県,イバラキケン,Ibaraki,,,,龍ケ崎市,リュウガサキシ,Ryugasaki-shi,,,,1947-04-17,,
082104,茨城県,イバラキケン,Ibaraki,,,,下妻市,シモツマシ,Shimotsuma-shi,,,,1947-04-17,,
082112,茨城県,イバラキケン,Ibaraki,,,,常総市,ジョウソウシ,Joso-shi,,,,1947-04-17,,
082121,茨城県,イバラキケン,Ibaraki,,,,常陸太田市,ヒタチオオタシ,Hitachiota-shi,,,,1947-04-17,,
082147,茨城県,イバラキケン,Ibaraki,,,,高萩市,タカハギシ,Takahagi-shi,,,,1947-04-17,,
082155,茨城県,イバラキケン,Ibaraki,,,,北茨城市,キタイバラキシ,Kitaibaraki-shi,,,,1947-04-17,,
082163,茨城県,イバラキケン,Ibaraki,,,,笠間市,カサマシ,Kasama-shi,,,,1947-04-17,,
082171,茨城県,イバラキケン,Ibaraki,,,,取手市,トリデシ,Toride-shi,,,,1947-04-17,,
082198,茨城県,イバラキケン,Ibaraki,,,,牛久市,ウシクシ,Ushiku-shi,,,,1947-04-17,,
082201,茨城県,イバラキケン,Ibaraki,,,,つくば市,ツクバシ,Tsukuba-shi,,,,1947-04-17,,
082210,茨城県,イバラキケン,Ibaraki,,,,ひたちなか市,ヒタチナカシ,Hitachinaka-shi,,,,1947-04-17,,
082228,茨城県,イバラキケン,Ibaraki,,,,鹿嶋市,カシマシ,Kashima-shi,,,,1947-04-17,,
082236,茨城県,イバラキケン,Ibaraki,,,,潮来市,イタコシ,Itako-shi,,,,1947-04-17,,
082244,茨城県,イバラキケン,Ibaraki,,,,守谷市,モリヤシ,Moriya-shi,,,,1947-04-17,,
082252,茨城県,イバラキケン,Ibaraki,,,,常陸大宮市,ヒタチオオミヤシ,Hitachiomiya-shi,,,,1947-04-17,,
082261,茨城県,イバラキケン,Ibaraki,,,,那珂市,ナカシ,Naka-shi,,,,1947-04-17,,
082279,茨城県,イバラキケン,Ibaraki,,,,筑西市,チクセイシ,Chikusei-shi,,,,1947-04-17,,
082287,茨城県,イバラキケン,Ibaraki,,,,坂東市,バンドウシ,Bando-shi,,,,1947-04-17,,
082295,茨城県,イバラキケン,Ibaraki,,,,稲敷市,イナシキシ,Inashiki-shi,,,,1947-04-17,,
082309,茨城県,イバラキケン,Ibaraki,,,,かすみがうら市,カスミガウラシ,Kasumigaura-shi,,,,1947-04-17,,
082317,茨城県,イバラキケン,Ibaraki,,,,桜川市,サクラガワシ,Sakuragawa-shi,,,,1947-04-17,,
082325,茨城県,イバラキケン,Ibaraki,,,,神栖市,カミスシ,Kamisu-shi,,,,1947-04-17,,
082333,茨城県,イバラキケン,Ibaraki,,,,行方市,ナメガタシ,Namegata-shi,,,,1947-04-17,,
082341,茨城県,イバラキケン,Ibaraki,,,,鉾田市,ホコタシ,Hokota-shi,,,,1947-04-17,,
082350,茨城県,イバラキケン,Ibaraki,,,,つくばみらい市,ツクバミライシ,Tsukubamirai-shi,,,,1947-04-17,,
082368,茨城県,イバラキケン,Ibaraki,,,,小美玉市,オミタマシ,Omitama-shi,,,,1947-04-17,,
083020,茨城県,イバラキケン,Ibaraki,東茨城郡,ヒガシイバラキグン,Higashiibaraki-gun,茨城町,イバラキマチ,Ibaraki-machi,,,,1947-04-17,,
083097,茨城県,イバラキケン,Ibaraki,東茨城郡,ヒガシイバラキグン,Higashiibaraki-gun,大洗町,オオアライマチ,Oarai-machi,,,,1947-04-17,,
