町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,インガ,インガ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,ウンビ,ウンビ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,ガジマンド,ガジマンドゥ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,クアナサド,クァナサド,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,クンジャー,クンジャー,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,シチャンシマ,シチャンシマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000107,3,,,,,,,スルミチ,スルミチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000108,3,,,,,,,ヒナマタ,ヒナマタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000109,3,,,,,,,マッチャク,マッチャク,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000110,3,,,,,,,ワルミ,ワルミ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000111,3,,,,,,,下我部,シタガブ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000112,3,,,,,,,下原,シタバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000113,3,,,,,,,我部井,ガブイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000114,3,,,,,,,兼久,ガネク,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000115,3,,,,,,,後原,クシバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000116,3,,,,,,,今泊,イマドマリ,Imadomari,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9050428,
0000117,3,,,,,,,墾謝堂,コンジャドゥ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000118,3,,,,,,,三謝,ミジャ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000119,3,,,,,,,山岳,サンタケ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000120,3,,,,,,,時仁原,トキジンバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000121,3,,,,,,,首里原,シュリバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000122,3,,,,,,,上運天,カミウンテン,Kamiunten,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9050404,
0000123,3,,,,,,,上原,ウエバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000124,3,,,,,,,上謝名,ウエジャナ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000125,3,,,,,,,勢理客,セリキャク,Serikyaku,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9050405,
0000126,3,,,,,,,西時仁原,ニシトキジンバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000127,3,,,,,,,赤木又,アカギマタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000128,3,,,,,,,前原,マエバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000129,3,,,,,,,村内,ムラウチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000130,3,,,,,,,大島,ウプシマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000131,3,,,,,,,沢岻,タクシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000132,3,,,,,,,仲尾次,ナコウシ,Nakaoshi,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9050424,
0000133,3,,,,,,,長竿,ナガサオ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000134,3,,,,,,,長嶽,ナガタキ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000135,3,,,,,,,渡久山,トクヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000136,3,,,,,,,白間,ジラマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000137,3,,,,,,,迫田,スウダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000138,3,,,,,,,平野,ヒラノ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,字運天,アザウンテン,Unten,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050403,
0002000,1,字天底,アザアメソコ,Amesoko,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050411,
0003000,1,字上運天,アザカミウンテン,Kamiunten,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050404,
0004000,1,字玉城,アザタマシロ,Tamashiro,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050415,
0005000,1,字謝名,アザジャナ,Jana,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050414,
0006000,1,字仲尾次,アザナカオシ,Nakaoshi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050424,
0007000,1,字今泊,アザイマドマリ,Imadomari,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050428,
0008000,1,字兼次,アザカネシ,Kaneshi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050427,
0009000,1,字湧川,アザワクガワ,Wakugawa,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050412,
0010000,1,字呉我山,アザゴガヤマ,Gogayama,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050413,
0011000,1,字古宇利,アザコウリ,Kori,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050406,
0012000,1,字勢理客,アザセリキャク,Serikyaku,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050405,
0013000,1,字渡喜仁,アザトキジン,Tokijin,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050402,
0014000,1,字崎山,アザサキヤマ,Sakiyama,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050422,
0015000,1,字平敷,アザヘシキ,Heshiki,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050423,
0016000,1,字仲宗根,アザナカソネ,Nakasone,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050401,
0017000,1,字越地,アザコエチ,Koechi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050421,
0018000,1,字与那嶺,アザヨナミネ,Yonamine,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050425,
0019000,1,字諸志,アザショシ,Shoshi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9050426,
