全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考
010006,北海道,ホッカイドウ,Hokkaido,1947-04-17,,
020001,青森県,アオモリケン,Aomori,1947-04-17,,
030007,岩手県,イワテケン,Iwate,1947-04-17,,
040002,宮城県,ミヤギケン,Miyagi,1947-04-17,,
050008,秋田県,アキタケン,Akita,1947-04-17,,
060003,山形県,ヤマガタケン,Yamagata,1947-04-17,,
070009,福島県,フクシマケン,Fukushima,1947-04-17,,
080004,茨城県,イバラキケン,Ibaraki,1947-04-17,,
090000,栃木県,トチギケン,Tochigi,1947-04-17,,
100005,群馬県,グンマケン,Gumma,1947-04-17,,
110001,埼玉県,サイタマケン,Saitama,1947-04-17,,
120006,千葉県,チバケン,Chiba,1947-04-17,,
130001,東京都,トウキョウト,Tokyo,1947-04-17,,
140007,神奈川県,カナガワケン,Kanagawa,1947-04-17,,
150002,新潟県,ニイガタケン,Niigata,1947-04-17,,
160008,富山県,トヤマケン,Toyama,1947-04-17,,
170003,石川県,イシカワケン,Ishikawa,1947-04-17,,
180009,福井県,フクイケン,Fukui,1947-04-17,,
190004,山梨県,ヤマナシケン,Yamanashi,1947-04-17,,
200000,長野県,ナガノケン,Nagano,1947-04-17,,
210005,岐阜県,ギフケン,Gifu,1947-04-17,,
220001,静岡県,シズオカケン,Shizuoka,1947-04-17,,
230006,愛知県,アイチケン,Aichi,1947-04-17,,
240001,三重県,ミエケン,Mie,1947-04-17,,
250007,滋賀県,シガケン,Shiga,1947-04-17,,
260002,京都府,キョウトフ,Kyoto,1947-04-17,,
270008,大阪府,オオサカフ,Osaka,1947-04-17,,
280003,兵庫県,ヒョウゴケン,Hyogo,1947-04-17,,
290009,奈良県,ナラケン,Nara,1947-04-17,,
300004,和歌山県,ワカヤマケン,Wakayama,1947-04-17,,
310000,鳥取県,トットリケン,Tottori,1947-04-17,,
320005,島根県,シマネケン,Shimane,1947-04-17,,
330001,岡山県,オカヤマケン,Okayama,1947-04-17,,
340006,広島県,ヒロシマケン,Hiroshima,1947-04-17,,
350001,山口県,ヤマグチケン,Yamaguchi,1947-04-17,,
360007,徳島県,トクシマケン,Tokushima,1947-04-17,,
370002,香川県,カガワケン,Kagawa,1947-04-17,,
380008,愛媛県,エヒメケン,Ehime,1947-04-17,,
390003,高知県,コウチケン,Kochi,1947-04-17,,
400009,福岡県,フクオカケン,Fukuoka,1947-04-17,,
410004,佐賀県,サガケン,Saga,1947-04-17,,
420000,長崎県,ナガサキケン,Nagasaki,1947-04-17,,
430005,熊本県,クマモトケン,Kumamoto,1947-04-17,,
440001,大分県,オオイタケン,Oita,1947-04-17,,
450006,宮崎県,ミヤザキケン,Miyazaki,1947-04-17,,
460001,鹿児島県,カゴシマケン,Kagoshima,1947-04-17,,
470007,沖縄県,オキナワケン,Okinawa,1947-04-17,,
